narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_11_119,P01,P01_11,00:06:32.069,00:06:33.27,00:06:34.99,23596,23699,hands cloth,hand,41,cloth,17,['cloth'],[17]
P01_11_12,P01,P01_11,00:00:52.620,00:00:51.98,00:00:53.03,3118,3181,throws paper into bin,throw-into,13,paper,49,"['paper', 'bin']","[49, 36]"
P01_11_120,P01,P01_11,00:06:36.599,00:06:36.30,00:06:37.35,23778,23841,takes hand,take,0,hand,11,['hand'],[11]
P01_11_121,P01,P01_11,00:06:42.629,00:06:41.48,00:06:42.74,24088,24164,throws can into bin,throw-into,13,bin,36,['bin'],[36]
P01_11_122,P01,P01_11,00:06:46.220,00:06:43.69,00:06:45.81,24221,24348,takes bin,take,0,bin,36,['bin'],[36]
P01_11_123,P01,P01_11,00:06:47.220,00:06:46.53,00:06:49.64,24391,24578,puts bin onto other bin,put-onto,1,bin,36,"['bin', 'bin:other']","[36, 36]"
P01_11_124,P01,P01_11,00:06:50.039,00:06:50.53,00:06:53.82,24631,24829,takes bins,take,0,bin,36,['bin'],[36]
P01_11_125,P01,P01_11,00:06:54.940,00:06:53.73,00:06:56.72,24823,25003,puts down bins,put-down,1,bin,36,['bin'],[36]
P01_11_126,P01,P01_11,00:06:59.259,00:06:58.16,00:06:59.82,25089,25189,opens bin,open,3,bin,36,['bin'],[36]
P01_11_127,P01,P01_11,00:07:02.419,00:07:00.74,00:07:18.50,25244,26310,closes bag,close,4,bag,19,['bag'],[19]
P01_11_128,P01,P01_11,00:07:13.909,00:07:03.71,00:07:17.74,25422,26264,ties bag,tie,36,bag,19,['bag'],[19]
P01_11_129,P01,P01_11,00:07:18.270,00:07:17.79,00:07:19.09,26267,26345,closes bin,close,4,bin,36,['bin'],[36]
P01_11_13,P01,P01_11,00:00:53.620,00:00:52.97,00:00:53.66,3178,3219,closes bin,close,4,bin,36,['bin'],[36]
P01_11_130,P01,P01_11,00:07:24.160,00:07:19.64,00:07:25.01,26378,26700,puts bin onto other bin,put-onto,1,bin,36,"['bin', 'bin:other']","[36, 36]"
P01_11_131,P01,P01_11,00:07:27.319,00:07:25.59,00:07:27.98,26735,26878,opens bin,open,3,bin,36,['bin'],[36]
P01_11_132,P01,P01_11,00:07:34.479,00:07:28.08,00:07:45.15,26884,27909,removes bag of the bin,remove,12,bag,19,"['bag', 'bin']","[19, 36]"
P01_11_133,P01,P01_11,00:07:44.419,00:07:45.78,00:07:47.03,27946,28021,takes bin out,take-out,12,bin,36,['bin'],[36]
P01_11_134,P01,P01_11,00:07:52.500,00:07:47.36,00:08:04.27,28041,29056,ties bag,tie,36,bag,19,['bag'],[19]
P01_11_135,P01,P01_11,00:08:07.580,00:08:05.53,00:08:10.72,29131,29443,puts bag into bin,put-into,5,bag,19,"['bag', 'bin']","[19, 36]"
P01_11_136,P01,P01_11,00:08:15.439,00:08:12.11,00:08:20.14,29526,30008,takes garbage bag,take,0,bag:garbage,19,['bag:garbage'],[19]
P01_11_137,P01,P01_11,00:08:24.530,00:08:22.80,00:08:30.49,30168,30629,opens bag,open,3,bag,19,['bag'],[19]
P01_11_138,P01,P01_11,00:08:32.909,00:08:32.25,00:08:34.00,30735,30840,opens bin,open,3,bin,36,['bin'],[36]
P01_11_139,P01,P01_11,00:08:36.630,00:08:36.04,00:08:51.22,30962,31873,puts bag into bin,put-into,5,bag,19,"['bag', 'bin']","[19, 36]"
P01_11_14,P01,P01_11,00:00:54.620,00:00:53.89,00:00:54.68,3233,3280,takes tray,take,0,tray,35,['tray'],[35]
P01_11_140,P01,P01_11,00:08:54.910,00:08:54.13,00:08:55.81,32047,32148,takes lid,take,0,lid,6,['lid'],[6]
P01_11_141,P01,P01_11,00:08:55.910,00:08:54.87,00:08:57.85,32092,32271,closes container,close,4,container,21,['container'],[21]
P01_11_142,P01,P01_11,00:08:58.690,00:08:57.95,00:09:01.50,32277,32490,takes container and plate,take,0,container,21,"['container', 'plate']","[21, 2]"
P01_11_143,P01,P01_11,00:09:02.880,00:09:01.88,00:09:04.26,32512,32655,opens fridge,open,3,fridge,12,['fridge'],[12]
P01_11_144,P01,P01_11,00:09:07.579,00:09:06.44,00:09:09.90,32786,32994,moves things in the fridge,move-in,5,fridge,12,['fridge'],[12]
P01_11_145,P01,P01_11,00:09:08.960,00:09:10.79,00:09:12.54,33047,33152,puts container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]"
P01_11_146,P01,P01_11,00:09:12.870,00:09:12.89,00:09:15.39,33173,33323,puts plate into fridge,put-into,5,plate,2,"['plate', 'fridge']","[2, 12]"
P01_11_147,P01,P01_11,00:09:16.490,00:09:15.74,00:09:18.24,33344,33494,closes fridge,close,4,fridge,12,['fridge'],[12]
P01_11_15,P01,P01_11,00:00:56.030,00:00:55.53,00:00:56.75,3331,3405,takes spatula,take,0,spatula,20,['spatula'],[20]
P01_11_16,P01,P01_11,00:00:57.030,00:00:56.71,00:00:57.71,3402,3462,puts down tray,put-down,1,tray,35,['tray'],[35]
P01_11_17,P01,P01_11,00:00:59.460,00:00:58.51,00:01:00.40,3510,3624,takes trays,take,0,tray,35,['tray'],[35]
P01_11_18,P01,P01_11,00:01:01.470,00:01:01.48,00:01:02.53,3688,3751,puts down trays,put-down,1,tray,35,['tray'],[35]
P01_11_19,P01,P01_11,00:01:03.170,00:01:02.51,00:01:04.06,3750,3843,puts down spatula and pizza cutter,put-down,1,spatula,20,"['spatula', 'cutter:pizza']","[20, 237]"
P01_11_2,P01,P01_11,00:00:05.509,00:00:02.97,00:00:13.79,178,827,takes pizza,take,0,pizza,91,['pizza'],[91]
P01_11_20,P01,P01_11,00:01:05.780,00:01:04.86,00:01:06.64,3891,3998,dries hands,dry,14,hand,11,['hand'],[11]
P01_11_21,P01,P01_11,00:01:07.899,00:01:07.30,00:01:08.68,4038,4120,takes plate,take,0,plate,2,['plate'],[2]
P01_11_22,P01,P01_11,00:01:10.479,00:01:09.42,00:01:10.99,4165,4259,puts down plate,put-down,1,plate,2,['plate'],[2]
P01_11_23,P01,P01_11,00:01:12.560,00:01:12.45,00:01:14.08,4347,4444,takes tablecloth,take,0,tablecloth,17,['tablecloth'],[17]
P01_11_24,P01,P01_11,00:01:15.159,00:01:13.59,00:01:18.85,4415,4731,folds tablecloth,fold,28,tablecloth,17,['tablecloth'],[17]
P01_11_25,P01,P01_11,00:01:19.960,00:01:18.91,00:01:20.45,4734,4827,puts tablecloth into cupboard,put-into,5,tablecloth,17,"['tablecloth', 'cupboard']","[17, 3]"
P01_11_26,P01,P01_11,00:01:21.619,00:01:20.99,00:01:22.42,4859,4945,takes container,take,0,container,21,['container'],[21]
P01_11_27,P01,P01_11,00:01:22.909,00:01:22.29,00:01:24.36,4937,5061,opens container,open,3,container,21,['container'],[21]
P01_11_28,P01,P01_11,00:01:25.920,00:01:24.97,00:01:27.47,5098,5248,takes pizza slice,take,0,slice:pizza,91,['slice:pizza'],[91]
P01_11_29,P01,P01_11,00:01:28.829,00:01:28.14,00:01:29.52,5288,5371,puts pizza slice into container,put-into,5,slice:pizza,91,"['slice:pizza', 'container']","[91, 21]"
P01_11_3,P01,P01_11,00:00:14.460,00:00:14.36,00:00:15.42,861,925,puts pizza onto plate,put-onto,1,pizza,91,"['pizza', 'plate']","[91, 2]"
P01_11_30,P01,P01_11,00:01:31.100,00:01:29.79,00:01:33.86,5387,5631,takes pizza slice,take,0,slice:pizza,91,['slice:pizza'],[91]
P01_11_31,P01,P01_11,00:01:35.939,00:01:36.02,00:01:36.99,5761,5819,takes knife,take,0,knife,4,['knife'],[4]
P01_11_32,P01,P01_11,00:01:36.939,00:01:37.09,00:01:38.09,5825,5885,puts down knife,put-down,1,knife,4,['knife'],[4]
P01_11_33,P01,P01_11,00:01:40.030,00:01:37.76,00:01:42.48,5865,6148,cuts pizza,cut,7,pizza,91,['pizza'],[91]
P01_11_34,P01,P01_11,00:01:43.649,00:01:43.92,00:01:44.94,6235,6296,puts pizza slice into container,put-into,5,slice:pizza,91,"['slice:pizza', 'container']","[91, 21]"
P01_11_35,P01,P01_11,00:01:52.939,00:01:52.85,00:01:53.93,6771,6835,puts down knife,put-down,1,knife,4,['knife'],[4]
P01_11_36,P01,P01_11,00:01:55.310,00:01:54.88,00:01:55.59,6892,6935,takes lid,take,0,lid,6,['lid'],[6]
P01_11_37,P01,P01_11,00:01:57.539,00:01:55.25,00:01:57.75,6915,7065,puts down lid,put-down,1,lid,6,['lid'],[6]
P01_11_38,P01,P01_11,00:01:56.539,00:01:55.61,00:01:56.66,6936,6999,closes container,close,4,container,21,['container'],[21]
P01_11_39,P01,P01_11,00:02:01.829,00:02:01.35,00:02:02.35,7281,7341,turns on tap,turn-on,6,tap,0,['tap'],[0]
P01_11_4,P01,P01_11,00:00:17.560,00:00:16.75,00:00:31.82,1005,1909,takes pizza,take,0,pizza,91,['pizza'],[91]
P01_11_40,P01,P01_11,00:02:02.829,00:02:02.44,00:02:03.44,7346,7406,washes hand,wash,2,hand,11,['hand'],[11]
P01_11_41,P01,P01_11,00:02:03.829,00:02:02.88,00:02:03.63,7372,7417,turns off tap,turn-off,8,tap,0,['tap'],[0]
P01_11_42,P01,P01_11,00:02:04.829,00:02:03.89,00:02:04.89,7433,7493,takes sponge,take,0,sponge,9,['sponge'],[9]
P01_11_43,P01,P01_11,00:02:05.829,00:02:04.85,00:02:05.49,7491,7529,squeezes sponge,squeeze,18,sponge,9,['sponge'],[9]
P01_11_44,P01,P01_11,00:02:07.389,00:02:06.34,00:02:07.09,7580,7625,takes washing up liquid,take,0,liquid:washing:up,22,['liquid:washing:up'],[22]
P01_11_45,P01,P01_11,00:02:10.039,00:02:08.69,00:02:10.44,7721,7826,puts down washing up liquid,put-down,1,liquid:washing:up,22,['liquid:washing:up'],[22]
P01_11_46,P01,P01_11,00:02:13.760,00:02:12.15,00:02:18.54,7929,8312,washes knife,wash,2,knife,4,['knife'],[4]
P01_11_47,P01,P01_11,00:02:19.400,00:02:18.56,00:02:19.64,8313,8378,takes fork,take,0,fork,14,['fork'],[14]
P01_11_48,P01,P01_11,00:02:20.400,00:02:18.99,00:02:23.57,8339,8614,washes fork,wash,2,fork,14,['fork'],[14]
P01_11_49,P01,P01_11,00:02:23.569,00:02:23.44,00:02:24.51,8606,8670,puts down fork,put-down,1,fork,14,['fork'],[14]
P01_11_5,P01,P01_11,00:00:32.680,00:00:32.72,00:00:33.87,1963,2032,puts pizza slice onto plate,put-onto,1,slice:pizza,91,"['slice:pizza', 'plate']","[91, 2]"
P01_11_50,P01,P01_11,00:02:24.569,00:02:24.34,00:02:25.27,8660,8716,takes pizza cutter,take,0,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_51,P01,P01_11,00:02:25.670,00:02:25.45,00:02:26.74,8727,8804,turns on tap,turn-on,6,tap,0,['tap'],[0]
P01_11_52,P01,P01_11,00:02:26.670,00:02:26.14,00:02:27.55,8768,8853,rinses pizza cutter,rinse,2,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_53,P01,P01_11,00:02:28.209,00:02:27.65,00:02:33.75,8859,9225,washes pizza cutter,wash,2,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_54,P01,P01_11,00:02:34.530,00:02:34.34,00:02:35.13,9260,9307,puts down pizza cutter,put-down,1,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_55,P01,P01_11,00:02:35.530,00:02:35.23,00:02:35.96,9313,9357,takes plate,take,0,plate,2,['plate'],[2]
P01_11_56,P01,P01_11,00:02:36.530,00:02:35.74,00:02:47.01,9344,10020,washes plate,wash,2,plate,2,['plate'],[2]
P01_11_57,P01,P01_11,00:02:47.909,00:02:46.65,00:02:48.40,9999,10104,puts down plate,put-down,1,plate,2,['plate'],[2]
P01_11_58,P01,P01_11,00:02:48.909,00:02:48.00,00:02:48.90,10080,10134,takes spatula,take,0,spatula,20,['spatula'],[20]
P01_11_59,P01,P01_11,00:02:49.909,00:02:49.08,00:02:58.69,10144,10721,washes spatula,wash,2,spatula,20,['spatula'],[20]
P01_11_6,P01,P01_11,00:00:34.360,00:00:34.38,00:00:41.15,2062,2469,takes pizza slice,take,0,slice:pizza,91,['slice:pizza'],[91]
P01_11_60,P01,P01_11,00:02:58.519,00:02:58.49,00:02:59.90,10709,10794,puts down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_11_61,P01,P01_11,00:03:01.599,00:03:00.47,00:03:02.72,10828,10963,takes tray,take,0,tray,35,['tray'],[35]
P01_11_62,P01,P01_11,00:03:02.599,00:03:02.65,00:03:12.07,10959,11524,washes tray,wash,2,tray,35,['tray'],[35]
P01_11_63,P01,P01_11,00:03:12.260,00:03:11.85,00:03:12.59,11511,11555,puts down tray,put-down,1,tray,35,['tray'],[35]
P01_11_64,P01,P01_11,00:03:13.260,00:03:13.11,00:03:14.23,11586,11653,takes tray,take,0,tray,35,['tray'],[35]
P01_11_65,P01,P01_11,00:03:14.700,00:03:14.24,00:03:24.63,11654,12277,washes tray,wash,2,tray,35,['tray'],[35]
P01_11_66,P01,P01_11,00:03:24.610,00:03:24.50,00:03:25.61,12270,12336,puts down tray,put-down,1,tray,35,['tray'],[35]
P01_11_67,P01,P01_11,00:03:26.730,00:03:26.01,00:03:26.90,12360,12414,puts down sponge,put-down,1,sponge,9,['sponge'],[9]
P01_11_68,P01,P01_11,00:03:30.719,00:03:30.28,00:03:31.41,12616,12684,takes glass,take,0,glass,10,['glass'],[10]
P01_11_69,P01,P01_11,00:03:31.719,00:03:32.62,00:03:36.20,12757,12972,washes glass,wash,2,glass,10,['glass'],[10]
P01_11_7,P01,P01_11,00:00:41.450,00:00:41.24,00:00:42.56,2474,2553,puts pizza slice onto plate,put-onto,1,slice:pizza,91,"['slice:pizza', 'plate']","[91, 2]"
P01_11_70,P01,P01_11,00:03:36.569,00:03:36.07,00:03:37.14,12964,13028,turns on tap,turn-on,6,tap,0,['tap'],[0]
P01_11_71,P01,P01_11,00:03:37.569,00:03:37.04,00:03:49.41,13022,13764,rinses glass,rinse,2,glass,10,['glass'],[10]
P01_11_72,P01,P01_11,00:03:49.870,00:03:49.83,00:03:51.17,13789,13870,puts glass into rack,put-into,5,glass,10,"['glass', 'rack']","[10, 110]"
P01_11_73,P01,P01_11,00:03:52.280,00:03:51.93,00:03:52.93,13915,13975,takes spatula,take,0,spatula,20,['spatula'],[20]
P01_11_74,P01,P01_11,00:03:53.280,00:03:53.66,00:04:02.20,14019,14532,rinses spatula,rinse,2,spatula,20,['spatula'],[20]
P01_11_75,P01,P01_11,00:04:03.519,00:04:02.30,00:04:03.28,14538,14596,puts spatula into rack.,put-into,5,spatula,20,"['spatula', 'rack']","[20, 110]"
P01_11_76,P01,P01_11,00:04:04.719,00:04:03.16,00:04:03.89,14589,14633,takes knife,take,0,knife,4,['knife'],[4]
P01_11_77,P01,P01_11,00:04:07.360,00:04:03.84,00:04:04.57,14630,14674,rinses knife.,rinse,2,knife,4,['knife'],[4]
P01_11_78,P01,P01_11,00:04:05.829,00:04:03.99,00:04:08.05,14639,14883,washes knife.,wash,2,knife,4,['knife'],[4]
P01_11_79,P01,P01_11,00:04:10.140,00:04:05.20,00:04:06.93,14712,14815,washes knife.,wash,2,knife,4,['knife'],[4]
P01_11_8,P01,P01_11,00:00:44.190,00:00:42.83,00:00:44.03,2569,2641,takes paper,take,0,paper,49,['paper'],[49]
P01_11_80,P01,P01_11,00:04:12.920,00:04:07.01,00:04:08.28,14820,14896,rinses knife.,rinse,2,knife,4,['knife'],[4]
P01_11_81,P01,P01_11,00:04:13.920,00:04:13.92,00:04:14.42,15235,15265,puts knife into rack.,put-into,5,knife,4,"['knife', 'rack']","[4, 110]"
P01_11_82,P01,P01_11,00:04:15.010,00:04:14.41,00:04:14.95,15264,15297,takes fork.,take,0,fork,14,['fork'],[14]
P01_11_83,P01,P01_11,00:04:16.010,00:04:14.91,00:04:17.63,15294,15457,washes fork.,wash,2,fork,14,['fork'],[14]
P01_11_84,P01,P01_11,00:04:18.400,00:04:17.63,00:04:19.09,15457,15545,rinses fork.,rinse,2,fork,14,['fork'],[14]
P01_11_85,P01,P01_11,00:04:20.019,00:04:19.19,00:04:20.10,15551,15606,takes pizza cutter.,take,0,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_86,P01,P01_11,00:04:21.280,00:04:20.20,00:04:26.11,15612,15966,rinses pizza cutter.,rinse,2,cutter:pizza,237,['cutter:pizza'],[237]
P01_11_87,P01,P01_11,00:04:26.330,00:04:26.05,00:04:26.55,15963,15993,puts pizza cutter into rack.,put-into,5,cutter:pizza,237,"['cutter:pizza', 'rack']","[237, 110]"
P01_11_88,P01,P01_11,00:04:27.650,00:04:27.16,00:04:28.62,16029,16117,takes tray.,take,0,tray,35,['tray'],[35]
P01_11_89,P01,P01_11,00:04:33.400,00:04:29.15,00:04:44.79,16148,17087,rinses tray.,rinse,2,tray,35,['tray'],[35]
P01_11_9,P01,P01_11,00:00:45.190,00:00:44.10,00:00:46.17,2646,2770,folds paper,fold,28,paper,49,['paper'],[49]
P01_11_90,P01,P01_11,00:04:44.560,00:04:44.92,00:04:46.63,17095,17197,puts tray into rack.,put-into,5,tray,35,"['tray', 'rack']","[35, 110]"
P01_11_91,P01,P01_11,00:04:46.520,00:04:46.58,00:04:47.39,17194,17243,takes tray.,take,0,tray,35,['tray'],[35]
P01_11_92,P01,P01_11,00:04:52.280,00:04:47.68,00:05:02.35,17260,18141,rinses tray.,rinse,2,tray,35,['tray'],[35]
P01_11_93,P01,P01_11,00:05:02.900,00:05:03.32,00:05:04.59,18199,18275,puts tray into rack,put-into,5,tray,35,"['tray', 'rack']","[35, 110]"
P01_11_94,P01,P01_11,00:05:04.539,00:05:04.63,00:05:05.16,18277,18309,takes plate,take,0,plate,2,['plate'],[2]
P01_11_95,P01,P01_11,00:05:05.539,00:05:05.26,00:05:08.31,18315,18498,rinses plate,rinse,2,plate,2,['plate'],[2]
P01_11_96,P01,P01_11,00:05:06.539,00:05:09.00,00:05:12.94,18540,18776,washes plate,wash,2,plate,2,['plate'],[2]
P01_11_97,P01,P01_11,00:05:14.590,00:05:13.60,00:05:18.49,18816,19109,rinses plate,rinse,2,plate,2,['plate'],[2]
P01_11_98,P01,P01_11,00:05:19.250,00:05:18.78,00:05:20.42,19126,19225,puts plate into track,put-into,5,plate,2,"['plate', 'track']","[2, 110]"
P01_11_99,P01,P01_11,00:05:22.110,00:05:20.78,00:05:26.75,19246,19605,washes sponge,wash,2,sponge,9,['sponge'],[9]
P01_12_0,P01,P01_12,00:00:05.839,00:00:06.79,00:00:10.50,407,630,takes cutlery,take,0,cutlery,58,['cutlery'],[58]
P01_12_1,P01,P01_12,00:00:10.769,00:00:11.80,00:00:13.44,708,806,opens drawer,open,3,drawer,8,['drawer'],[8]
P01_12_10,P01,P01_12,00:00:25.720,00:00:27.28,00:00:27.98,1636,1678,closes drawer,close,4,drawer,8,['drawer'],[8]
P01_12_11,P01,P01_12,00:00:28.270,00:00:29.13,00:00:31.99,1747,1919,takes cutting board,take,0,board:cutting,18,['board:cutting'],[18]
P01_12_12,P01,P01_12,00:00:30.039,00:00:31.35,00:00:32.42,1881,1945,opens cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_12_13,P01,P01_12,00:00:31.550,00:00:32.52,00:00:36.63,1951,2197,puts cutting board into cupboard,put,1,board:cutting,18,"['board:cutting', 'cupboard']","[18, 3]"
P01_12_14,P01,P01_12,00:00:38.640,00:00:38.07,00:00:41.62,2284,2497,takes trays,take,0,tray,35,['tray'],[35]
P01_12_15,P01,P01_12,00:00:40.940,00:00:41.72,00:00:45.99,2503,2759,puts trays into cupboard,put-into,5,tray,35,"['tray', 'cupboard']","[35, 3]"
P01_12_16,P01,P01_12,00:00:47.180,00:00:48.04,00:00:50.05,2882,3003,takes pan,take,0,pan,5,['pan'],[5]
P01_12_17,P01,P01_12,00:00:48.840,00:00:50.15,00:00:58.42,3009,3505,puts pan into cupboard,put-into,5,pan,5,"['pan', 'cupboard']","[5, 3]"
P01_12_18,P01,P01_12,00:00:59.090,00:01:00.21,00:01:03.75,3612,3825,takes bowls,take,0,bowl,7,['bowl'],[7]
P01_12_19,P01,P01_12,00:01:03.329,00:01:01.81,00:01:03.10,3708,3786,opens cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_12_2,P01,P01_12,00:00:13.840,00:00:13.74,00:00:16.73,824,1003,puts down fork,put-down,1,fork,14,['fork'],[14]
P01_12_20,P01,P01_12,00:01:01.260,00:01:02.58,00:01:04.81,3754,3888,puts bowls into cupboard,put-into,5,bowl,7,"['bowl', 'cupboard']","[7, 3]"
P01_12_21,P01,P01_12,00:01:00.090,00:01:04.87,00:01:06.06,3892,3963,opens cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_12_22,P01,P01_12,00:01:04.939,00:01:06.07,00:01:07.16,3964,4029,takes out,take-out,12,cupboard,3,['cupboard'],[3]
P01_12_23,P01,P01_12,00:01:06.939,00:01:07.10,00:01:07.64,4025,4058,closes cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_12_24,P01,P01_12,00:01:05.939,00:01:07.51,00:01:08.76,4050,4125,closes cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_12_25,P01,P01_12,00:01:07.939,00:01:08.93,00:01:09.83,4135,4189,pulls down cup,pull-down,31,cup,13,['cup'],[13]
P01_12_26,P01,P01_12,00:01:11.130,00:01:11.26,00:01:16.00,4275,4560,takes plates,take,0,plate,2,['plate'],[2]
P01_12_27,P01,P01_12,00:01:15.579,00:01:16.69,00:01:18.37,4601,4702,opens cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_12_28,P01,P01_12,00:01:16.789,00:01:18.67,00:01:21.10,4720,4866,puts plates into cupboard,put-into,5,plate,2,"['plate', 'cupboard']","[2, 3]"
P01_12_29,P01,P01_12,00:01:21.999,00:01:22.63,00:01:24.56,4957,5073,takes measuring cups and glass,take,0,cup:measuring,13,"['cup:measuring', 'glass']","[13, 10]"
P01_12_3,P01,P01_12,00:00:15.039,00:00:16.74,00:00:18.06,1004,1083,puts down knife,put-down,1,knife,4,['knife'],[4]
P01_12_30,P01,P01_12,00:01:24.090,00:01:24.66,00:01:26.39,5079,5183,opens cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_12_31,P01,P01_12,00:01:25.240,00:01:26.39,00:01:31.02,5183,5461,puts cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]"
P01_12_32,P01,P01_12,00:01:27.180,00:01:27.62,00:01:30.27,5257,5416,puts measuring cup into cupboard,put,1,cup:measuring,13,"['cup:measuring', 'cupboard']","[13, 3]"
P01_12_33,P01,P01_12,00:01:33.139,00:01:30.79,00:01:32.06,5447,5523,closes cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_12_34,P01,P01_12,00:01:31.969,00:01:32.67,00:01:33.92,5560,5635,takes rolling bin,take,0,bin:rolling,136,['bin:rolling'],[136]
P01_12_35,P01,P01_12,00:01:29.369,00:01:33.50,00:01:36.02,5610,5761,closes cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_12_36,P01,P01_12,00:01:35.719,00:01:36.99,00:01:39.12,5819,5947,opens drawer,open,3,drawer,8,['drawer'],[8]
P01_12_37,P01,P01_12,00:01:36.719,00:01:39.17,00:01:47.72,5950,6463,puts rolling pin into drawer,put-into,5,pin:rolling,136,"['pin:rolling', 'drawer']","[136, 8]"
P01_12_38,P01,P01_12,00:01:46.450,00:01:48.05,00:01:49.21,6483,6552,closes drawer,close,4,drawer,8,['drawer'],[8]
P01_12_39,P01,P01_12,00:01:49.389,00:01:50.19,00:01:51.67,6611,6700,takes tablecloth,take,0,tablecloth,17,['tablecloth'],[17]
P01_12_4,P01,P01_12,00:00:16.990,00:00:18.18,00:00:19.57,1090,1174,puts down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_12_40,P01,P01_12,00:01:50.969,00:01:51.77,00:01:53.77,6706,6826,unfolds tablecloth,unfold,39,tablecloth,17,['tablecloth'],[17]
P01_12_41,P01,P01_12,00:01:52.749,00:01:54.12,00:01:55.62,6847,6937,pulls down tablecloth,pull-down,31,tablecloth,17,['tablecloth'],[17]
